"date","description"
"01.01.2026","+ Нова година. Обрезание Господне. Св. Василий Велики. Св. Емилия. Св. мчк Василий Анкирски (Вас. лит.) (Василовден)"
"02.01.2026","Св. Силвестър, папа Римски. Преп. Серафим Саровски Чудотворец (Предпразненство на св. Богоявление) (Блажи се)"
"03.01.2026","Св. прор. Малахия. Св. мчк Гордий"
"04.01.2026","+ Неделя преди Богоявление. Събор на св. 70 апостоли. Прпмчк Онуфрий Габровски. Преп. Теоктист"
"05.01.2026","Св. прор. Михей. Св. мчци Теопемт и Теона. Преп. Синклитикия и Аполинария (Водици) (Утреня, Царски часове, Вечерня с Вас. лит.) (Велик водосвет) (Строг пост)"
"06.01.2026","+ Св. Богоявление (Утреня, Злат. лит.) (Велик водосвет) (Йордановден)"
"07.01.2026","+ Св. Йоан Кръстител (Ивановден)"
"08.01.2026","Св. Григорий, еп. Български. Преп. Георги Хозевит. Св. Емилиан изповедник. Преп. Домника. Мчк Або Тбилиски"
"09.01.2026","Св. мчк Полиевкт. Св. Петър, еп. Севастийски. Преп. Евстратий"
"10.01.2026","Св. Григорий, еп. Нисийски. Преп. Дометиан, еп. Мелитински. Св. Маркиан. Св. Теофан Затворник. Блажена Теозви"
"11.01.2026","+ Неделя след Богоявление. Преп. Теодосий Велики. Преп. Теодосий Антиохийски"
"12.01.2026","Св. мчца Татяна Римска. Св. Сава Сръбски. Св. мчк Мертий. Мчк Петър Авесаломит. Преп. Евпраксия"
"13.01.2026","Св. мчци Ермил и Стратоник. Св. мчк Петър Анийски. Преп. Максим Кавсокаливит. Св. Йеремия I, патр. Константинополски"
"14.01.2026","Преп. отци, избити в Синай и Раита. Св. равноап. Нина. Св. Потит Сердикийски (Отдание на Богоявление)"
"15.01.2026","Преп. отци Гавриил Лесновски, Прохор Пшински, Павел Тивейски и Йоан Колибар. Св. Герасим, патр. Александрийски"
"16.01.2026","Честни вериги на св. ап. Петър. Преп. Ромил Видински. Св. свщмчк Дамаскин Габровски"
"17.01.2026","* Преп. Антоний Велики (Антоновден)"
"18.01.2026","+ Неделя 12 след Неделя подир Въздвижение - на 10-те прокажени. Св. Атанасий и Кирил Александрийски. Св. Йоаким, патр. Търновски (Атанасовден)"
"19.01.2026","Преп. Макарий Египетски. Св. Марк, еп. Ефески"
"20.01.2026","* Преп. Евтимий Велики. Св. Евтимий, патриарх Търновски"
"21.01.2026","Преп. Максим Изповедник. Св. мчк Неофит"
"22.01.2026","Св. ап. Тимотей. Прпмчк Анастасий Перски. Св. свщмчк Петър, еп. Български. Св. мчк Сионий Български"
"23.01.2026","Св. свщмчк Климент, еп. Анкирски. Св. мчк Агатангел. Св. Павлин, еп. Нолански"
"24.01.2026","Преп. Ксения Римлянка. Блаж. Ксения Петербургска. Преп. Филон, еп. Колпастийски"
"25.01.2026","+ Неделя 15 след Неделя подир Въздвижение ¬ на Закхея. Св. Григорий Богослов, архиепископ Константинополски"
"26.01.2026","Преп. Ксенофонт и дружината му. Св. Амон. Св. Павла"
"27.01.2026","* Пренасяне мощите на св. Йоан Златоуст"
"28.01.2026","Преп. Ефрем Сириец. Св. Исаак Сириец, епископ Ниневийски. Преп. Паладий Пустинник"
"29.01.2026","Пренасяне мощите на св. Игнатий Богоносец. Св. мчк Димитрий Сливенски. Св. Димитрий Гагастатис, презвитер"
"30.01.2026","* Св. Трисветители велики архиереи: Василий Велики, Григорий Богослов и Йоан Златоуст. Св. свщмчк Иполит, папа Римски. Св. благоверен цар Петър Български. Преп. Сергий Къпински"
"31.01.2026","Св. безсребреници и чудотворци Кир и Йоан. Св. Серапион и Папий"
"01.02.2026","+ Неделя 16 след Неделя подир Въздвижение - на Митаря и Фарисея. Св. мчк Трифон (Предпразненство на Сретение Господне) (Трифоновден)"
"02.02.2026","+ Сретение Господне"
"03.02.2026","Св. Симеон Богоприимец и Анна пророчица. Св. пророк Азарий. Св. равноап Николай Японски"
"04.02.2026","Преп. Исидор Пелусийски. Св. мчк Иадор. Преп. Иасим Чудотворец (Блажи се)"
"05.02.2026","Св. мчца Агатия (Добра). Св. мчца Василиса"
"06.02.2026","Преп. Вукол, еп. Смирненски. Св. Фотий, патр. Константинополски. Преп. Варсануфий Велики. Св. Йоан Пророк. Св. мчци Доротея, Христина и Калиста (Блажи се)"
"07.02.2026","Преп. Партений, еп. Лампсакийски. Преп. Лука Еладски. Преп. Априон, еп. Кипърски"
"08.02.2026","+ Неделя 17 след Неделя подир Въздвижение ¬ на Блудния син. Св. вмчк Теодор Стратилат. Св. прор. Захария Сърповидец"
"09.02.2026","Св. мчк Никифор (Отдание на Сретение Господне)"
"10.02.2026","* Св. свщмчк Харалампий Чудотворец. Св. мчца Валентина"
"11.02.2026","* Св. свщмчк Власий, еп. Севастийски. Св. мчк Георги Софийски, Нови"
"12.02.2026","Св. Мелетий, архиеп. Антиохийски. Св. Антоний, патр. Константинополски"
"13.02.2026","Преп. Мартиниан. Св. Евлогий, архиеп. Александрийски. Преп. Зоя (Живка) и Фотина (Светлана)"
"14.02.2026","* Успение на св. Кирил Славянобългарски. Преп. Авксентий. (Задушница)"
"15.02.2026","+ Неделя Месопустна (Месни заговезни). Св. ап. Онисим. Преп. Евсевий Сирийски"
"16.02.2026","Св. мчци Памфил и Порфирий. Св. Флавиан, патр. Константинополски"
"17.02.2026","Св. вмчк Теодор Тирон. Преп. Роман Търновски"
"18.02.2026","Св. Лъв, папа Римски. Св. Агапит Изповедник, еп. Синадски (Службата е великопостна) (Блажи се риба и млечни храни)"
"19.02.2026","Св. ап. Архип и Филимон от 70-те, и мчца и равноап. Апфия. Преп. Доситей"
"20.02.2026","Св. Лъв, еп. Катански. Св. Агатон, папа Римски. Св. свщмчк Садок, еп. Персийски и 128 мъченици с него. Преп. Плотин (Службата е великопостна) (Блажи се риба и млечни храни)"
"21.02.2026","Преп. Тимотей. Св. Евстатий, архиеп. Антиохийски"
"22.02.2026","+ Неделя Сиропустна (Сирни заговезни). Намиране честните мощи на св. мчци в Евгения"
"23.02.2026","Св. свщмчк Поликарп, еп. Смирненски. Преп. Александър, първоначалник на обителта на незаспиващите. (Вечерта - Велико повечерие с канона на св. Андрей Критски, I част)"
"24.02.2026","* 1-во и 2-ро намиране честната глава на св. Йоан Кръстител (Прежд. лит.) (Вечерта - Велико повечерие с канона на св. Андрей Критски, II част)"
"25.02.2026","Св. Тарасий, архиеп. Константинополски (Прежд. лит.) (Вечерта - Велико повечерие с канона на св. Андрей Критски, III част)"
"26.02.2026","*Св. Серафим Софийски Чудотворец. Св. Порфирий, еп. Газки. Св. мчк Севастиан (Вечерта - Велико повечерие с канона на св. Андрей Критски, IV част)"
"27.02.2026","Преп. Прокопий Декаполит, изповедник (Прежд. лит.) (Вечерта - Малко повечерие с Богородичен акатист, I статия)"
"28.02.2026","*Тодорова събота. Преп. Василий Изповедник. Св. мчца Кирана Солунска (Злат. лит.)"
"01.03.2026","+ 1 Неделя на Великия пост - Православна. Св. прпмчца Евдокия Илиополска"
"02.03.2026","Св. свщмчк Теодот, еп. Киринейски. Мчца Евталия. Преп. Агатон Египетски"
"03.03.2026","Св. мчци Евтропий, Клеоник и Василиск. Ден на Освобождението на България от османско иго – Национален празник"
"04.03.2026","Преп. Герасим Йордански (Прежд. лит.)"
"05.03.2026","Св. мчци Конон Исаврийски и Йоан Българин"
"06.03.2026","Св. 42 мчци в Амория (Прежд. лит.) (Вечерта - Малко повечерие с Богородичен акатист, II статия)"
"07.03.2026","Св. свщмчци Василий, Ефрем, Капитон и др. епископи Херсонски (Злат. лит.)"
"08.03.2026","+ 2 Неделя на Великия пост - Св. Григорий Палама. Преп. Теофилакт, еп. Никомидийски"
"09.03.2026","*Св. 40 мчци Севастийски. Св. мчк Исихий Доростолски. (Прежд. лит.)"
"10.03.2026","Св. мчци Кодрат и Галина"
"11.03.2026","*Св. Софроний, еп. Врачански. Св. Софроний, патр. Йерусалимски. (Прежд. лит.)"
"12.03.2026","Преп. Теофан Изповедник. Св. Григорий Двоеслов. Преп. Симеон, Нови Богослов"
"13.03.2026","Св. Никифор, патр. Константинополски (Прежд. лит.) (Вечерта - Малко повечерие с Богородичен акатист, III статия)"
"14.03.2026","Преп. Бенедикт Нурсийски (Злат. лит.)"
"15.03.2026","+ 3 Неделя на Великия пост - Кръстопоклонна. Св. мчк Агапий и 6-те мъченици с него. Св. мчк. Никандър"
"16.03.2026","Св. ап. Аристовул. Св. мчци Савин и Папа"
"17.03.2026","Преп. Алексий, човек Божи"
"18.03.2026","Св. Кирил, патриарх Йерусалимски. (Прежд. лит.)"
"19.03.2026","Св. мчци Хрисант и Дария"
"20.03.2026","Преп. отци, избити в манастира „Св. Сава” (Прежд. лит.) (Вечерта - Малко повечерие с Богородичен акатист, IV статия)"
"21.03.2026","Преп. Яков, епископ и изповедник (Злат. лит.)"
"22.03.2026","+ 4 Неделя на Великия пост - Преп. Йоан Лествичник. Св. свщмчк Василий, презвитер Анкирски"
"23.03.2026","Св. свщмчк Никон. Св. прпмчк Лука Одрински. (Вечерта - Малко повечерие с целия канон на св. Андрей Критски)"
"24.03.2026","Преп. Захария. Св. Артемий, еп. Солунски. (Вечерта – Велика вечерня)"
"25.03.2026","+ Благовещение (Утреня и Злат. лит.), утр. ев. на празника, ап. Евр. 2:11-18 (с.481), лит. ев. Лк 1:24-38 (Вечерта - отдание на празника) (Разрешава се риба)"
"26.03.2026","Събор на св. архангел Гавриил. Св. мчк Георги Софийски, Стари"
"27.03.2026","Св. мчца Матрона Солунска (Прежд. лит.) (Вечерта - Малко повечерие с целия Богородичен канон и акатист)"
"28.03.2026","*Акатистна събота. Чудотворна икона на Пресв. Богородица „Златна ябълка“. Преп Иларион Нови, изповедник и преп. Стефан, изповедник. Свщмчци Георги, еп. Загорски и Петър, презв. Мъгленски. Св. мчк Енравота-Боян, княз Български (Злат. лит.)"
"29.03.2026","+ 5 Неделя на Великия пост ¬ Преп. Мария Египетска. Преп. Марк, еп. Аретусийски и св. Кирил, дякон"
"30.03.2026","Преп. Йоан Синайски - Лествичник"
"31.03.2026","Св. свщмчк Ипатий, еп. Гангърски"
"01.04.2026","Преп. Мария Египетска. Св. мчк Аврамий Български (Прежд. лит.)"
"02.04.2026","Преп. Тит Чудотворец. Св. мчци Амфиан и Едесий"
"03.04.2026","Преп. Никита Изповедник, игумен Мидикийски (Прежд. лит.) (Вечерта - Малко повечерие с канона от Триода)"
"04.04.2026","*Лазарова събота. Преп. Йосиф Песнописец. Преп. Георги в Малея. Св. свщмчк Никита Серски (Злат. лит.)"
